AccelerationX,AccelerationY,AccelerationZ
0.0143,0.0016,1.0006
0.0144,0.0012,1.0004
0.0141,0.0013,0.9994
0.0143,0.0018,1.0002
0.0141,0.0018,1.0016
0.0147,0.0024,1.0017
0.0148,0.0021,1.0006
0.0146,0.0013,1.0005
0.0152,0.0013,1.0016
0.0154,0.0017,1.0012
0.0152,0.0011,1.0006
0.0149,0.0012,1.0015
0.0146,0.0015,1.0016
0.014,0.0016,1.001
0.0142,0.0019,1.0003
0.014,0.0014,1.0006
0.014,0.0011,1.0003
0.0138,0.0009,0.9998
0.0138,0.001,1.0005
0.0142,0.0003,1.0004
0.0144,0.0006,0.9998
0.0138,0.0016,1.0006
0.0133,0.002,1.0014
0.0136,0.0018,1
0.0137,0.0014,0.9989
0.0135,0.0012,1.0007
0.0134,0.0021,1.0009
0.0142,0.002,0.9996
0.0144,0.0017,1.0003
0.0143,0.0025,1.0009
0.0148,0.0022,1.0002
0.0152,0.0021,1.0001
0.0161,0.0021,1.0006
0.0152,0.0007,1.0001
0.0142,0.0011,0.9996
0.014,0.0021,1.0004
0.0139,0.0023,1.0021
0.0132,0.0022,1.001
0.0138,0.0016,1.0003
0.0139,0.0014,1.0008
0.014,0.002,1.0011
0.0142,0.002,1.0011
0.0145,0.0015,1.0012
0.0147,0.0024,1.0019
0.0138,0.0015,0.9998
0.0134,0.0008,0.9993
0.0134,0.0012,1.0008
0.0141,0.0016,1.0013
0.0147,0.0009,1.0005
0.0141,0.0008,0.9993
0.0136,0.001,0.9997
0.0137,0.0007,1
0.0152,0.0011,0.9993
0.0147,0.002,1.0003
0.0146,0.0021,1.0021
0.0152,0.0015,1.0003
0.0144,0.0017,0.9994
0.0137,0.0014,1.0007
0.0138,0.0012,1.0008
